DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-17 17:02:00,3.354,0.238,232.46,14.4,0,1,16
2006-12-17 17:03:00,3.472,0.236,232.29,15,0,1,17
2006-12-17 17:04:00,3.484,0.176,231.57,15,0,2,16
2006-12-17 17:05:00,3.422,0.136,231.18,14.8,0,1,16
2006-12-17 17:06:00,3.416,0.136,230.94,14.8,0,1,17
2006-12-17 17:07:00,3.446,0.136,231.33,14.8,0,2,16
2006-12-17 17:08:00,3.66,0.138,233.01,15.6,0,1,17
2006-12-17 17:09:00,3.586,0.144,233.93,15.2,0,1,17
2006-12-17 17:10:00,3.556,0.14,232.83,15.2,0,2,16
2006-12-17 17:11:00,3.604,0.156,234.18,15.4,0,1,17
2006-12-17 17:12:00,3.728,0.276,235.76,15.8,0,1,17
2006-12-17 17:13:00,3.7,0.27,234.86,15.8,0,2,17
2006-12-17 17:14:00,3.678,0.268,234.11,15.6,0,1,17
2006-12-17 17:15:00,3.67,0.266,233.91,15.6,0,1,17
2006-12-17 17:16:00,3.702,0.272,235.24,15.8,0,1,17
2006-12-17 17:17:00,3.744,0.276,234.86,16,0,1,16
2006-12-17 17:18:00,3.796,0.288,234.46,16.2,0,2,17
2006-12-17 17:19:00,3.808,0.288,234.74,16.2,0,1,17
2006-12-17 17:20:00,3.58,0.294,235.39,15.2,0,1,17
2006-12-17 17:21:00,3.37,0.22,233.34,14.4,0,1,17
2006-12-17 17:22:00,3.13,0.174,234.05,13.4,0,0,17
2006-12-17 17:23:00,3.238,0.172,233.58,13.8,0,0,16
2006-12-17 17:24:00,3.39,0.17,232.65,14.6,0,0,17
2006-12-17 17:25:00,3.36,0.164,231.2,14.4,0,0,16
2006-12-17 17:26:00,3.4,0.162,232.86,14.6,0,0,17
2006-12-17 17:27:00,3.396,0.164,232.89,14.6,0,0,17
2006-12-17 17:28:00,3.282,0.1,232.33,14,0,0,16
2006-12-17 17:29:00,2.996,0.056,232.47,12.8,0,0,17
2006-12-17 17:30:00,3.002,0.058,232.79,12.8,0,0,16
2006-12-17 17:31:00,3,0.058,232.88,12.8,0,0,17
2006-12-17 17:32:00,2.994,0.056,233.03,12.8,0,0,17
2006-12-17 17:33:00,3.058,0.056,233.11,13,0,0,16
2006-12-17 17:34:00,3.118,0.12,232.58,13.4,0,0,17
2006-12-17 17:35:00,3.168,0.158,234.57,13.4,0,0,17
2006-12-17 17:36:00,3.262,0.158,234.69,13.8,0,0,17
2006-12-17 17:37:00,3.306,0.158,235.39,14,0,0,17
2006-12-17 17:38:00,3.288,0.156,234.84,14,0,0,17
2006-12-17 17:39:00,3.282,0.154,234.63,14,0,0,16
2006-12-17 17:40:00,3.292,0.158,234.99,14,0,0,17
2006-12-17 17:41:00,3.28,0.154,234.39,14,0,0,17
2006-12-17 17:42:00,3.502,0.158,235.51,14.8,0,0,17
2006-12-17 17:43:00,3.376,0.156,235.42,14.4,0,0,17
2006-12-17 17:44:00,3.332,0.114,235.56,14.2,0,0,17
2006-12-17 17:45:00,3.292,0.06,235.58,14,0,0,17
2006-12-17 17:46:00,3.28,0.058,234.99,14,0,0,17
2006-12-17 17:47:00,3.298,0.058,235.77,14,0,0,17
2006-12-17 17:48:00,3.296,0.06,235.69,14,0,0,17
2006-12-17 17:49:00,3.274,0.058,234.74,14,0,0,17
2006-12-17 17:50:00,3.412,0.184,235.79,14.4,0,0,17
2006-12-17 17:51:00,3.412,0.188,236.2,14.4,0,0,17
2006-12-17 17:52:00,3.418,0.188,236.21,14.4,0,0,17
2006-12-17 17:53:00,3.416,0.19,236.37,14.4,0,0,17
2006-12-17 17:54:00,3.418,0.19,236.59,14.4,0,0,18
2006-12-17 17:55:00,3.43,0.192,237.11,14.4,0,0,17
2006-12-17 17:56:00,3.434,0.19,236.87,14.4,0,0,17
2006-12-17 17:57:00,3.792,0.176,235.98,16,0,0,17
2006-12-17 17:58:00,3.652,0.166,235.91,15.4,0,0,17
2006-12-17 17:59:00,3.59,0.166,236.02,15.2,0,0,17
2006-12-17 18:00:00,3.328,0.168,235.86,14,0,0,17
2006-12-17 18:01:00,3.336,0.172,236.27,14,0,0,17
2006-12-17 18:02:00,3.386,0.17,236.31,14.2,0,0,17
2006-12-17 18:03:00,3.528,0.272,235.63,15,0,0,17
2006-12-17 18:04:00,3.496,0.26,235.22,14.8,0,0,17
2006-12-17 18:05:00,3.396,0.166,235.28,14.4,0,0,17
2006-12-17 18:06:00,3.266,0.106,234.27,13.8,0,0,17
2006-12-17 18:07:00,3.34,0,234.72,14.2,0,0,17
2006-12-17 18:08:00,3.26,0,235.73,13.8,0,0,17
2006-12-17 18:09:00,3.236,0,235.84,13.6,0,0,17
2006-12-17 18:10:00,3.216,0,235,13.6,0,0,17
2006-12-17 18:11:00,3.232,0,235.67,13.6,0,0,17
2006-12-17 18:12:00,3.236,0,235.9,13.6,0,0,17
2006-12-17 18:13:00,3.254,0,236.64,13.8,0,0,17
2006-12-17 18:14:00,3.308,0.076,237.39,14,0,0,18
2006-12-17 18:15:00,3.612,0.254,236.94,15.2,0,0,17
2006-12-17 18:16:00,4.1,0.156,236.33,17.8,0,0,17
2006-12-17 18:17:00,6.254,0.118,233.69,26.6,0,0,17
2006-12-17 18:18:00,6.204,0.116,232.7,26.6,0,0,16
